name,date,breed,zip_code
Jack,2009-12-23,Terrier,98107
Ginger,2006-01-20,Retriever,98117
Pepper,2006-02-07,Mix,98103
Addy,2006-08-04,Retriever,98105
Lady,2006-12-06,Doberman Pinscher,98104
Emily,2007-11-19,"895915,Domestic Medium Hair",98103
Hitler,2008-03-25,Terrier,98108
Oscar,2008-03-31,Dachshund,98104
Liame,2008-04-17,Retriever,98126
Skyler,2011-03-28,LaPerm,98118
Emma,2015-02-25,German Shepherd,98115
Zoey,2015-09-01,Retriever,98126
Roxie,2015-09-01,Terrier,98104
Bones,2015-09-01,Retriever,98122
Daisy,2015-09-01,Domestic Medium Hair,98146
Gatsby,2015-09-01,Domestic Medium Hair,98146
Louie,2016-10-05,Poodle,98103
Ditto,2016-10-05,Terrier,98118
Doggie,2016-12-13,American Shorthair,98199
Ocean,2016-12-13,Domestic Shorthair,98125
